MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2025121101,10573,101007400,101007300,180,0/180,90/270,1200,1000,0
2025121101,10544,101106700,100806700,270,90/270,0/180,1200,1000,0
2025121101,10543,101106700,101406700,90,90/270,0/180,1200,1000,0
2025121101,10275,101203700,100903700,270,90/270,0/180,1200,1000,0
2025121101,10274,101203700,101403700,90,90/270,0/180,1200,1000,0
2025121101,10392,101205000,100905000,270,90/270,0/180,1200,1000,0
2025121101,10391,101205000,101405000,90,90/270,0/180,1200,1000,0
2025121101,10455,101205600,100905600,270,90/270,0/180,1200,1000,0
2025121101,10454,101205600,101405600,90,90/270,0/180,1200,1000,0
2025121101,10581,101207100,101307300,0,0/180,90/270,1200,1000,0
2025121101,10611,101307300,101007300,270,90/270,0/90/180/270,1200,1000,0
2025121101,10609,101307300,101207100,180,0/180,90/270,1200,1000,0
2025121101,10610,101307300,101507300,90,90/270,0/90/180/270,1200,1000,0
2025121101,10211,101403200,101603200,90,90/270,0/180,1200,1000,0
2025121101,10271,101403700,101203700,270,90/270,0/180,1200,1000,0
2025121101,10270,101403700,101403800,0,0/180,90/270,1200,1000,0
2025121101,10269,101403700,101603700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10272,101403800,101403700,180,0/180,90/270,1200,1000,0
2025121101,10332,101404400,101604400,90,90/270,0/180,1200,1000,0
2025121101,10393,101404800,101405000,0,0/180,90/270,1200,1000,0
2025121101,10388,101405000,101205000,270,90/270,0/180,1200,1000,0
2025121101,10389,101405000,101404800,180,0/180,90/270,1200,1000,0
2025121101,10387,101405000,101605000,90,90/270,0/90/180/270,1200,1000,0
2025121101,10451,101405600,101205600,270,90/270,0/180,1200,1000,0
2025121101,10450,101405600,101405700,0,0/180,90/270,1200,1000,0
2025121101,10449,101405600,101605600,90,90/270,0/90/180/270,1200,1000,0
2025121101,10452,101405700,101405600,180,0/180,90/270,1200,1000,0
2025121101,10504,101406200,101606200,90,90/270,0/180,1200,1000,0
2025121101,10545,101406600,101406700,0,0/180,90/270,1200,1000,0
2025121101,10540,101406700,101106700,270,90/270,0/180,1200,1000,0
2025121101,10541,101406700,101406600,180,0/180,90/270,1200,1000,0
2025121101,10539,101406700,101606700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10608,101507300,101307300,270,90/270,0/90/180/270,1200,1000,0
2025121101,10606,101507300,101407400,0,0/180,90/270,1200,1000,0
2025121101,10607,101507300,101607300,90,90/270,0/90/180/270,1200,1000,0
2025121101,10210,101603200,101403200,270,90/270,0/180,1200,1000,0
2025121101,10209,101603200,102003200,90,90/270,0/180,1200,1000,0
2025121101,10268,101603700,101403700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10267,101603700,101803700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10337,101604400,101404400,270,90/270,0/180,1200,1000,0
2025121101,10338,101604400,101804400,90,90/270,0/180,1200,1000,0
2025121101,10386,101605000,101405000,270,90/270,0/90/180/270,1200,1000,0
2025121101,10385,101605000,101805000,90,90/270,0/90/180/270,1200,1000,0
2025121101,10448,101605600,101405600,270,90/270,0/90/180/270,1200,1000,0
2025121101,10447,101605600,101805600,90,90/270,0/90/180/270,1200,1000,0
2025121101,10503,101606200,101406200,270,90/270,0/180,1200,1000,0
2025121101,10502,101606200,101806200,90,90/270,0/180,1200,1000,0
2025121101,10537,101606700,101406700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10536,101606700,101806700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10579,101607100,101607300,0,0/180,90/270,1200,1000,0
2025121101,10605,101607300,101507300,270,90/270,0/90/180/270,1200,1000,0
2025121101,10603,101607300,101607100,180,0/180,90/270,1200,1000,0
2025121101,10604,101607300,101707300,90,90/270,0/90/180/270,1200,1000,0
2025121101,10601,101707300,101607300,270,90/270,0/90/180/270,1200,1000,0
2025121101,10600,101707300,101707400,0,0/180,90/270,1200,1000,0
2025121101,10602,101707300,101907300,90,90/270,0/180,1200,1000,0
2025121101,10578,101707400,101707300,180,0/180,90/270,1200,1000,0
2025121101,10190,101802800,102002800,90,90/270,0/180,1200,1000,0
2025121101,10188,101803000,102003000,90,90/270,0/180,1200,1000,0
2025121101,10219,101803300,102003300,90,90/270,0/180,1200,1000,0
2025121101,10231,101803500,102003500,90,90/270,0/180,1200,1000,0
2025121101,10266,101803700,101603700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10265,101803700,102003700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10285,101803900,102003900,90,90/270,0/180,1200,1000,0
2025121101,10313,101804200,102004200,90,90/270,0/180,1200,1000,0
2025121101,10335,101804400,101604400,270,90/270,0/180,1200,1000,0
2025121101,10334,101804400,102004400,90,90/270,0/180,1200,1000,0
2025121101,10357,101804600,102004600,90,90/270,0/180,1200,1000,0
2025121101,10383,101805000,101605000,270,90/270,0/90/180/270,1200,1000,0
2025121101,10382,101805000,102005000,90,90/270,0/90/180/270,1200,1000,0
2025121101,10402,101805200,102005200,90,90/270,0/180,1200,1000,0
2025121101,10426,101805400,102005400,90,90/270,0/180,1200,1000,0
2025121101,10445,101805600,101605600,270,90/270,0/90/180/270,1200,1000,0
2025121101,10446,101805600,102005600,90,90/270,0/180,1200,1000,0
2025121101,10472,101805900,102005900,90,90/270,0/180,1200,1000,0
2025121101,10487,101806100,102006100,90,90/270,0/180,1200,1000,0
2025121101,10500,101806200,101606200,270,90/270,0/180,1200,1000,0
2025121101,10499,101806200,102006200,90,90/270,0/180,1200,1000,0
2025121101,10513,101806500,102006500,90,90/270,0/180,1200,1000,0
2025121101,10534,101806700,101606700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10533,101806700,102006700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10636,101907300,101707300,270,90/270,0/180,1200,1000,0
2025121101,10635,101907300,102007300,90,90/270,0/180,1200,1000,0
2025121101,10216,102002800,101802800,270,90/270,0/180,1200,1000,0
2025121101,10215,102002800,102102800,90,90/270,0/180,1200,1000,0
2025121101,10212,102003000,101803000,270,90/270,0/180,1200,1000,0
2025121101,10214,102003000,102103000,90,90/270,0/180,1200,1000,0
2025121101,10207,102003200,101603200,270,90/270,0/180,1200,1000,0
2025121101,10201,102003200,102103200,90,90/270,0/180,1200,1000,0
2025121101,10241,102003300,101803300,270,90/270,0/180,1200,1000,0
2025121101,10242,102003300,102103300,90,90/270,0/180,1200,1000,0
2025121101,10243,102003500,101803500,270,90/270,0/180,1200,1000,0
2025121101,10244,102003500,102103500,90,90/270,0/180,1200,1000,0
2025121101,10253,102003700,101803700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10254,102003700,102103700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10286,102003900,101803900,270,90/270,0/180,1200,1000,0
2025121101,10287,102003900,102103900,90,90/270,0/180,1200,1000,0
2025121101,10311,102004200,101804200,270,90/270,0/180,1200,1000,0
2025121101,10310,102004200,102104200,90,90/270,0/180,1200,1000,0
2025121101,10329,102004400,101804400,270,90/270,0/180,1200,1000,0
2025121101,10331,102004400,102104400,90,90/270,0/180,1200,1000,0
2025121101,10360,102004600,101804600,270,90/270,0/180,1200,1000,0
2025121101,10359,102004600,102104600,90,90/270,0/180,1200,1000,0
2025121101,10379,102005000,101805000,270,90/270,0/90/180/270,1200,1000,0
2025121101,10380,102005000,102105000,90,90/270,0/90/180/270,1200,1000,0
2025121101,10666,102005200,101805200,270,90/270,0/180,1200,1000,0
2025121101,10665,102005200,102105200,90,90/270,0/180,1200,1000,0
2025121101,10668,102005400,101805400,270,90/270,0/180,1200,1000,0
2025121101,10667,102005400,102105400,90,90/270,0/180,1200,1000,0
2025121101,10671,102005600,101805600,270,90/270,0/90/180/270,1200,1000,0
2025121101,10670,102005600,102105600,90,90/270,0/180,1200,1000,0
2025121101,10674,102005900,101805900,270,90/270,0/180,1200,1000,0
2025121101,10673,102005900,102105900,90,90/270,0/180,1200,1000,0
2025121101,10676,102006100,101806100,270,90/270,0/180,1200,1000,0
2025121101,10675,102006100,102106100,90,90/270,0/180,1200,1000,0
2025121101,10494,102006200,101806200,270,90/270,0/180,1200,1000,0
2025121101,10496,102006200,102106200,90,90/270,0/180,1200,1000,0
2025121101,10693,102006500,101806500,270,90/270,0/180,1200,1000,0
2025121101,10695,102006500,102106500,90,90/270,0/180,1200,1000,0
2025121101,10529,102006700,101806700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10531,102006700,102106700,90,90/270,0/90/180/270,1200,1000,0
2025121101,10593,102006900,102007000,0,0/180,0/180,1200,1000,0
2025121101,10592,102006900,102106900,90,90/270,0/180,1200,1000,0
2025121101,10594,102007000,102006900,180,0/180,0/180,1200,1000,0
2025121101,10595,102007000,102007200,0,0/180,0/180,1200,1000,0
2025121101,10598,102007200,102007000,180,0/180,0/180,1200,1000,0
2025121101,10599,102007200,102007300,0,0/180,0/180,1200,1000,0
2025121101,10597,102007300,101907300,270,90/270,0/180,1200,1000,0
2025121101,10596,102007300,102007200,180,0/180,0/180,1200,1000,0
2025121101,10105,102101600,102101700,0,0/180,0/180,1200,1000,0
2025121101,10107,102101700,102101600,180,0/180,0/180,1200,1000,0
2025121101,10109,102101700,102101800,0,0/180,0/180,1200,1000,0
2025121101,10108,102101700,102201700,90,90/270,0/180,1200,1000,0
2025121101,10137,102101800,102101700,180,0/180,0/180,1200,1000,0
2025121101,10139,102101800,102101900,0,0/180,0/180,1200,1000,0
2025121101,10141,102101900,102101800,180,0/180,0/180,1200,1000,0
2025121101,10140,102101900,102102000,0,0/180,0/180,1200,1000,0
2025121101,10142,102101900,102201900,90,90/270,0/180,1200,1000,0
2025121101,10136,102102000,102101900,180,0/180,0/180,1200,1000,0
2025121101,10135,102102000,102102100,0,0/180,0/180,1200,1000,0
2025121101,10133,102102100,102102000,180,0/180,0/180,1200,1000,0
2025121101,10132,102102100,102102200,0,0/180,0/180,1200,1000,0
2025121101,10131,102102100,102202100,90,90/270,0/180,1200,1000,0
2025121101,10129,102102200,102102100,180,0/180,0/180,1200,1000,0
2025121101,10130,102102200,102102300,0,0/180,0/180,1200,1000,0
2025121101,10158,102102300,102102200,180,0/180,0/180,1200,1000,0
2025121101,10159,102102300,102102400,0,0/180,0/180,1200,1000,0
2025121101,10160,102102300,102202300,90,90/270,0/180,1200,1000,0
2025121101,10147,102102400,102102300,180,0/180,0/180,1200,1000,0
2025121101,10148,102102400,102102500,0,0/180,0/180,1200,1000,0
2025121101,10177,102102500,102102400,180,0/180,0/180,1200,1000,0
2025121101,10178,102102500,102102600,0,0/180,0/180,1200,1000,0
2025121101,10179,102102500,102202500,90,90/270,0/180,1200,1000,0
2025121101,10151,102102600,102102500,180,0/180,0/180,1200,1000,0
2025121101,10149,102102600,102102700,0,0/180,0/180,1200,1000,0
2025121101,10150,102102600,102202600,90,90/270,0/180,1200,1000,0
2025121101,10152,102102700,102102600,180,0/180,0/180,1200,1000,0
2025121101,10154,102102700,102102800,0,0/180,0/180,1200,1000,0
2025121101,10183,102102800,102002800,270,90/270,0/180,1200,1000,0
2025121101,10180,102102800,102102700,180,0/180,0/180,1200,1000,0
2025121101,10182,102102800,102102900,0,0/180,0/180,1200,1000,0
2025121101,10181,102102800,102202800,90,90/270,0/180,1200,1000,0
2025121101,10191,102102900,102102800,180,0/180,0/180,1200,1000,0
2025121101,10193,102102900,102103000,0,0/180,0/180,1200,1000,0
2025121101,10716,102103000,102003000,270,90/270,0/180,1200,1000,0
2025121101,10714,102103000,102102900,180,0/180,0/180,1200,1000,0
2025121101,10715,102103000,102103100,0,0/180,0/180,1200,1000,0
2025121101,10713,102103000,102203000,90,90/270,0/180,1200,1000,0
2025121101,10198,102103100,102103000,180,0/180,0/180,1200,1000,0
2025121101,10197,102103100,102103200,0,0/180,0/180,1200,1000,0
2025121101,10228,102103200,102003200,270,90/270,0/180,1200,1000,0
2025121101,10227,102103200,102103100,180,0/180,0/180,1200,1000,0
2025121101,10230,102103200,102103300,0,0/180,0/180,1200,1000,0
2025121101,10229,102103200,102203200,90,90/270,0/180,1200,1000,0
2025121101,10222,102103300,102003300,270,90/270,0/180,1200,1000,0
2025121101,10221,102103300,102103200,180,0/180,0/180,1200,1000,0
2025121101,10223,102103300,102103400,0,0/180,0/180,1200,1000,0
2025121101,10220,102103300,102203300,90,90/270,0/180,1200,1000,0
2025121101,10246,102103400,102103300,180,0/180,0/180,1200,1000,0
2025121101,10247,102103400,102103500,0,0/180,0/180,1200,1000,0
2025121101,10234,102103500,102003500,270,90/270,0/180,1200,1000,0
2025121101,10235,102103500,102103400,180,0/180,0/180,1200,1000,0
2025121101,10236,102103500,102103600,0,0/180,0/180,1200,1000,0
2025121101,10233,102103500,102203500,90,90/270,0/180,1200,1000,0
2025121101,10258,102103600,102103500,180,0/180,0/180,1200,1000,0
2025121101,10260,102103600,102103700,0,0/180,0/180,1200,1000,0
2025121101,10648,102103700,102003700,270,90/270,0/90/180/270,1200,1000,0
2025121101,10650,102103700,102103600,180,0/180,0/180,1200,1000,0
2025121101,10651,102103700,102103800,0,0/180,0/180,1200,1000,0
2025121101,10649,102103700,102203700,90,90/270,0/180,1200,1000,0
2025121101,10277,102103800,102103700,180,0/180,0/180,1200,1000,0
